Question,Option1,Value1,Option2,Value2,Option3,Value3,Option4,Value4,Option5,Value5,dummy_mapping
1.Is your child the mother 's firstborn?,Yes,1,No,0,NaN,NaN,NaN,NaN,NaN,NaN,
2.Has your child ever been treated with antibiotics?,Yes ,1,No,0,NaN,NaN,NaN,NaN,NaN,NaN,
3.At what age did your child first use antibiotics?,Never used,1,Within 1 year old,0, 1 to 2 years old,0, 3 years old and above ,0,NaN,NaN,
4.Does your child have any history of allergies?,Yes,1,No,0,NaN,NaN,NaN,NaN,NaN,NaN,
5.Does your child have digestive system disorders?,Yes,1,No,0,NaN,NaN,NaN,NaN,NaN,NaN,
6.Does your child have regular lunches?,Yes,1,No,0,NaN,NaN,NaN,NaN,NaN,NaN,
7.Does your child have any food preferences?,No obvious,0,Have much hated food,1,Have much loved food,2,NaN,NaN,NaN,NaN,"No obvious:1,0,0;Have much hated food:0,1,0;Have much loved food:0,0,0"
8.How is your child's self control ability?,Rambunctious,0,Not good at selfcontrol but can accept discipline,0,Good at self control,1,NaN,NaN,NaN,NaN,
9.Do your children lose spirit easily?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
10.Does your child have a yellowish complexion and not look as rosy as other children?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
11.Is your child's muscles flabby and not as strong as other children's?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
12.Is your child always very quiet?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,0,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
13.Does your child speak weakly or softly?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
14.Does your child not like to talk?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,0,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
15.Does your child sweat easily even with a little activity?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,0,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,1,0;Always:0,0,0,0,0"
16.Are your child's hands and feet always cold?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
17.Is your child tolerant of summer but not winter?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
"18.Is your child more sensitive to cold than other children of the same age (for example, afraid of air conditioning, fans, winter, etc.)?",Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
